"location","population","highestinfectioncount","percentpopulationinfected"
"Cyprus","896007","691252","77.14805799508262"
"Brunei","449002","345096","76.85845497347451"
"San Marino","33690","25292","75.07272187592757"
"Austria","8939617","6082356","68.03821684978226"
"South Korea","51815808","34571873","66.72070615978815"
"Faeroe Islands","53117","34658","65.24841387879586"
"Slovenia","2119843","1356013","63.96761458277807"
"Gibraltar","32677","20550","62.8882700370291"
"Martinique","367512","230354","62.67931387274429"
"Luxembourg","647601","391729","60.48925186959254"
"Andorra","79843","48015","60.1367684080007"
"Jersey","110796","66391","59.92183833351385"
"Denmark","5882259","3435018","58.39623858793025"
"Saint Pierre and Miquelon","5885","3426","58.21580288870008"
"France","67813000","38997490","57.507395337177236"
"Iceland","372903","210013","56.31839915473997"
"Guernsey","63329","35326","55.78171138025233"
"Niue","1952","1074","55.020491803278695"
"Portugal","10270857","5649830","55.00836006187215"
"Liechtenstein","39355","21578","54.82911955278872"
"Greece","10384972","5641241","54.32119605137116"
"Singapore","5637022","3006155","53.32877891908174"
"Latvia","1850654","977765","52.83348481131536"
"Guadeloupe","395762","203235","51.352833268479536"
"Israel","9449000","4841558","51.2388400888983"
"Switzerland","8740471","4454731","50.966715638093184"
"Reunion","974062","494595","50.7765419449686"
"Falkland Islands","3801","1923","50.59194948697711"
"New Zealand","5185289","2614723","50.42579111791069"
"Saint Barthelemy","10994","5507","50.09095870474805"
"Georgia","3744385","1863101","49.75719644213936"
"Lithuania","2750058","1366800","49.700769947397475"
"Netherlands","17564020","8636781","49.17314487230144"
"Seychelles","107135","51770","48.32221029542166"
"Bahrain","1472237","696614","47.31670240593056"
"Monaco","36491","17181","47.082842344687734"
"Germany","83369840","38437756","46.10510947364179"
"Estonia","1326064","610471","46.03631498932178"
"Cayman Islands","68722","31472","45.79610605046419"
"Czechia","10493990","4759813","45.357514158103825"
"Australia","26177410","11861161","45.310674356248384"
"Italy","59037472","26727644","45.27233821936007"
"Isle of Man","84534","38008","44.96179052215676"
"Bonaire Sint Eustatius and Saba","27052","11922","44.070678692887775"
"Cook Islands","17032","7327","43.01902301550024"
"Nauru","12691","5393","42.49468127019148"
"Belgium","11655923","4863706","41.7273346778286"
"Aruba","106459","44224","41.54087489080303"
"European Union","450146793","185666273","41.24571714987204"
"Saint Helena","5401","2166","40.10368450286984"
"Montenegro","627082","251280","40.07131443734631"
"Barbados","281646","110786","39.335193824872356"
"Marshall Islands","41593","16248","39.06426562161902"
"Saint Martin (French part)","31816","12324","38.73522755846115"
"Puerto Rico","3252412","1252713","38.51643026775206"
"Serbia","6871547","2583470","37.596628532119475"
"United Kingdom","67508936","24940688","36.944276532517115"
"Maldives","523798","186694","35.64236595023272"
"Palau","18084","6366","35.20238885202389"
"Ireland","5023108","1738493","34.60990685448133"
"High income","1250514600","428730597","34.284333585549504"
"Europe","744807803","252672573","33.92453354842202"
"Slovakia","5643455","1877788","33.27373036552962"
"Oceania","45038860","14973351","33.245404079943405"
"Croatia","4030361","1317144","32.68054648206451"
"Wallis and Futuna","11596","3760","32.42497412901"
"French Guiana","304568","98041","32.19018412965249"
"Montserrat","4413","1403","31.792431452526625"
"United States","338289856","103436829","30.57639097519968"
"Guam","171783","52287","30.437819807547896"
"Uruguay","3422796","1041263","30.42141570809362"
"Mongolia","3398373","1011489","29.763919381421637"
"Northern Mariana Islands","49574","14702","29.656674869891475"
