"location","date","population","total_cases","percentpopulationinfected"
"North America","1/26/20","600323657","8","1.3326144833236183e-06"
"North America","1/27/20","600323657","8","1.3326144833236183e-06"
"North America","1/28/20","600323657","8","1.3326144833236183e-06"
"North America","1/29/20","600323657","8","1.3326144833236183e-06"
"North America","1/30/20","600323657","8","1.3326144833236183e-06"
"North America","1/31/20","600323657","8","1.3326144833236183e-06"
"North America","2/1/20","600323657","8","1.3326144833236183e-06"
"North America","2/2/20","600323657","13","2.1654985354008797e-06"
"North America","2/3/20","600323657","13","2.1654985354008797e-06"
"North America","2/4/20","600323657","13","2.1654985354008797e-06"
"North America","2/5/20","600323657","13","2.1654985354008797e-06"
"North America","2/6/20","600323657","13","2.1654985354008797e-06"
"North America","2/7/20","600323657","13","2.1654985354008797e-06"
"North America","2/8/20","600323657","13","2.1654985354008797e-06"
"North America","2/9/20","600323657","27","4.497573881217212e-06"
"North America","2/10/20","600323657","27","4.497573881217212e-06"
"North America","2/11/20","600323657","27","4.497573881217212e-06"
"North America","2/12/20","600323657","27","4.497573881217212e-06"
"North America","2/13/20","600323657","27","4.497573881217212e-06"
"North America","2/14/20","600323657","27","4.497573881217212e-06"
"North America","2/15/20","600323657","27","4.497573881217212e-06"
"North America","2/16/20","600323657","31","5.16388112287902e-06"
"North America","2/17/20","600323657","31","5.16388112287902e-06"
"North America","2/18/20","600323657","31","5.16388112287902e-06"
"North America","2/19/20","600323657","31","5.16388112287902e-06"
"North America","2/20/20","600323657","31","5.16388112287902e-06"
"North America","2/21/20","600323657","31","5.16388112287902e-06"
"North America","2/22/20","600323657","31","5.16388112287902e-06"
"North America","2/23/20","600323657","50","8.328840520772614e-06"
"North America","2/24/20","600323657","50","8.328840520772614e-06"
"North America","2/25/20","600323657","50","8.328840520772614e-06"
"North America","2/26/20","600323657","50","8.328840520772614e-06"
"North America","2/27/20","600323657","50","8.328840520772614e-06"
"North America","2/28/20","600323657","50","8.328840520772614e-06"
"North America","2/29/20","600323657","50","8.328840520772614e-06"
"North America","3/1/20","600323657","94","1.5658220179052513e-05"
"North America","3/2/20","600323657","94","1.5658220179052513e-05"
"North America","3/3/20","600323657","94","1.5658220179052513e-05"
"North America","3/4/20","600323657","94","1.5658220179052513e-05"
"North America","3/5/20","600323657","94","1.5658220179052513e-05"
"North America","3/6/20","600323657","94","1.5658220179052513e-05"
"North America","3/7/20","600323657","94","1.5658220179052513e-05"
"North America","3/8/20","600323657","574","9.561508917846961e-05"
"North America","3/9/20","600323657","574","9.561508917846961e-05"
"North America","3/10/20","600323657","574","9.561508917846961e-05"
"North America","3/11/20","600323657","574","9.561508917846961e-05"
"North America","3/12/20","600323657","574","9.561508917846961e-05"
"North America","3/13/20","600323657","574","9.561508917846961e-05"
"North America","3/14/20","600323657","574","9.561508917846961e-05"
"North America","3/15/20","600323657","4431","0.000738101846950869"
"North America","3/16/20","600323657","4431","0.000738101846950869"
"North America","3/17/20","600323657","4431","0.000738101846950869"
"North America","3/18/20","600323657","4431","0.000738101846950869"
"North America","3/19/20","600323657","4431","0.000738101846950869"
"North America","3/20/20","600323657","4431","0.000738101846950869"
"North America","3/21/20","600323657","4431","0.000738101846950869"
"North America","3/22/20","600323657","33857","0.005639791070235968"
"North America","3/23/20","600323657","33857","0.005639791070235968"
"North America","3/24/20","600323657","33857","0.005639791070235968"
"North America","3/25/20","600323657","33857","0.005639791070235968"
"North America","3/26/20","600323657","33857","0.005639791070235968"
"North America","3/27/20","600323657","33857","0.005639791070235968"
"North America","3/28/20","600323657","33857","0.005639791070235968"
"North America","3/29/20","600323657","135809","0.022622630045712157"
"North America","3/30/20","600323657","135809","0.022622630045712157"
"North America","3/31/20","600323657","135809","0.022622630045712157"
"North America","4/1/20","600323657","135809","0.022622630045712157"
"North America","4/2/20","600323657","135809","0.022622630045712157"
"North America","4/3/20","600323657","135809","0.022622630045712157"
"North America","4/4/20","600323657","135809","0.022622630045712157"
"North America","4/5/20","600323657","324935","0.05412663589234499"
"North America","4/6/20","600323657","324935","0.05412663589234499"
"North America","4/7/20","600323657","324935","0.05412663589234499"
"North America","4/8/20","600323657","324935","0.05412663589234499"
"North America","4/9/20","600323657","324935","0.05412663589234499"
"North America","4/10/20","600323657","324935","0.05412663589234499"
"North America","4/11/20","600323657","324935","0.05412663589234499"
"North America","4/12/20","600323657","560604","0.09338362622614421"
"North America","4/13/20","600323657","560604","0.09338362622614421"
"North America","4/14/20","600323657","560604","0.09338362622614421"
"North America","4/15/20","600323657","560604","0.09338362622614421"
"North America","4/16/20","600323657","560604","0.09338362622614421"
"North America","4/17/20","600323657","560604","0.09338362622614421"
"North America","4/18/20","600323657","560604","0.09338362622614421"
"North America","4/19/20","600323657","776467","0.12934139625285498"
"North America","4/20/20","600323657","776467","0.12934139625285498"
"North America","4/21/20","600323657","776467","0.12934139625285498"
"North America","4/22/20","600323657","776467","0.12934139625285498"
"North America","4/23/20","600323657","776467","0.12934139625285498"
"North America","4/24/20","600323657","776467","0.12934139625285498"
"North America","4/25/20","600323657","776467","0.12934139625285498"
"North America","4/26/20","600323657","1006775","0.16770536830601696"
"North America","4/27/20","600323657","1006775","0.16770536830601696"
"North America","4/28/20","600323657","1006775","0.16770536830601696"
"North America","4/29/20","600323657","1006775","0.16770536830601696"
"North America","4/30/20","600323657","1006775","0.16770536830601696"
"North America","5/1/20","600323657","1006775","0.16770536830601696"
"North America","5/2/20","600323657","1006775","0.16770536830601696"
"North America","5/3/20","600323657","1232321","0.20527610158798054"
"North America","5/4/20","600323657","1232321","0.20527610158798054"
"North America","5/5/20","600323657","1232321","0.20527610158798054"
"North America","5/6/20","600323657","1232321","0.20527610158798054"
"North America","5/7/20","600323657","1232321","0.20527610158798054"
"North America","5/8/20","600323657","1232321","0.20527610158798054"
"North America","5/9/20","600323657","1232321","0.20527610158798054"
"North America","5/10/20","600323657","1446714","0.2409890037033806"
"North America","5/11/20","600323657","1446714","0.2409890037033806"
"North America","5/12/20","600323657","1446714","0.2409890037033806"
"North America","5/13/20","600323657","1446714","0.2409890037033806"
"North America","5/14/20","600323657","1446714","0.2409890037033806"
"North America","5/15/20","600323657","1446714","0.2409890037033806"
"North America","5/16/20","600323657","1446714","0.2409890037033806"
"North America","5/17/20","600323657","1649285","0.2747326347660492"
"North America","5/18/20","600323657","1649285","0.2747326347660492"
"North America","5/19/20","600323657","1649285","0.2747326347660492"
"North America","5/20/20","600323657","1649285","0.2747326347660492"
"North America","5/21/20","600323657","1649285","0.2747326347660492"
"North America","5/22/20","600323657","1649285","0.2747326347660492"
"North America","5/23/20","600323657","1649285","0.2747326347660492"
"North America","5/24/20","600323657","1854684","0.3089473450485727"
"North America","5/25/20","600323657","1854684","0.3089473450485727"
"North America","5/26/20","600323657","1854684","0.3089473450485727"
"North America","5/27/20","600323657","1854684","0.3089473450485727"
"North America","5/28/20","600323657","1854684","0.3089473450485727"
"North America","5/29/20","600323657","1854684","0.3089473450485727"
"North America","5/30/20","600323657","1854684","0.3089473450485727"
"North America","5/31/20","600323657","2045377","0.34071237675712657"
"North America","6/1/20","600323657","2045377","0.34071237675712657"
"North America","6/2/20","600323657","2045377","0.34071237675712657"
"North America","6/3/20","600323657","2045377","0.34071237675712657"
"North America","6/4/20","600323657","2045377","0.34071237675712657"
"North America","6/5/20","600323657","2045377","0.34071237675712657"
"North America","6/6/20","600323657","2045377","0.34071237675712657"
"North America","6/7/20","600323657","2241611","0.37340041057219236"
"North America","6/8/20","600323657","2241611","0.37340041057219236"
"North America","6/9/20","600323657","2241611","0.37340041057219236"
"North America","6/10/20","600323657","2241611","0.37340041057219236"
"North America","6/11/20","600323657","2241611","0.37340041057219236"
"North America","6/12/20","600323657","2241611","0.37340041057219236"
"North America","6/13/20","600323657","2241611","0.37340041057219236"
"North America","6/14/20","600323657","2446327","0.4075013488932021"
"North America","6/15/20","600323657","2446327","0.4075013488932021"
"North America","6/16/20","600323657","2446327","0.4075013488932021"
"North America","6/17/20","600323657","2446327","0.4075013488932021"
"North America","6/18/20","600323657","2446327","0.4075013488932021"
"North America","6/19/20","600323657","2446327","0.4075013488932021"
"North America","6/20/20","600323657","2446327","0.4075013488932021"
"North America","6/21/20","600323657","2684537","0.44718161090226705"
"North America","6/22/20","600323657","2684537","0.44718161090226705"
"North America","6/23/20","600323657","2684537","0.44718161090226705"
"North America","6/24/20","600323657","2684537","0.44718161090226705"
"North America","6/25/20","600323657","2684537","0.44718161090226705"
"North America","6/26/20","600323657","2684537","0.44718161090226705"
"North America","6/27/20","600323657","2684537","0.44718161090226705"
"North America","6/28/20","600323657","3005928","0.5007178985784997"
"North America","6/29/20","600323657","3005928","0.5007178985784997"
"North America","6/30/20","600323657","3005928","0.5007178985784997"
"North America","7/1/20","600323657","3005928","0.5007178985784997"
"North America","7/2/20","600323657","3005928","0.5007178985784997"
"North America","7/3/20","600323657","3005928","0.5007178985784997"
"North America","7/4/20","600323657","3005928","0.5007178985784997"
"North America","7/5/20","600323657","3421777","0.5699886986129551"
"North America","7/6/20","600323657","3421777","0.5699886986129551"
"North America","7/7/20","600323657","3421777","0.5699886986129551"
"North America","7/8/20","600323657","3421777","0.5699886986129551"
"North America","7/9/20","600323657","3421777","0.5699886986129551"
"North America","7/10/20","600323657","3421777","0.5699886986129551"
"North America","7/11/20","600323657","3421777","0.5699886986129551"
"North America","7/12/20","600323657","3892463","0.6483940712001626"
"North America","7/13/20","600323657","3892463","0.6483940712001626"
"North America","7/14/20","600323657","3892463","0.6483940712001626"
"North America","7/15/20","600323657","3892463","0.6483940712001626"
"North America","7/16/20","600323657","3892463","0.6483940712001626"
"North America","7/17/20","600323657","3892463","0.6483940712001626"
"North America","7/18/20","600323657","3892463","0.6483940712001626"
"North America","7/19/20","600323657","4446629","0.7407052759208521"
