"location","date","total_cases","total_deaths","deathpercentage"
"North America","5/18/20","1649285","108163","6.558175209257344"
"North America","5/17/20","1649285","108163","6.558175209257344"
"North America","5/23/20","1649285","108163","6.558175209257344"
"North America","5/22/20","1649285","108163","6.558175209257344"
"North America","5/21/20","1649285","108163","6.558175209257344"
"North America","5/20/20","1649285","108163","6.558175209257344"
"North America","5/19/20","1649285","108163","6.558175209257344"
"North America","5/29/20","1854684","121551","6.553730985979282"
"North America","5/30/20","1854684","121551","6.553730985979282"
"North America","5/24/20","1854684","121551","6.553730985979282"
"North America","5/25/20","1854684","121551","6.553730985979282"
"North America","5/26/20","1854684","121551","6.553730985979282"
"North America","5/27/20","1854684","121551","6.553730985979282"
"North America","5/28/20","1854684","121551","6.553730985979282"
"North America","6/1/20","2045377","133454","6.524665135082677"
"North America","5/31/20","2045377","133454","6.524665135082677"
"North America","6/5/20","2045377","133454","6.524665135082677"
"North America","6/6/20","2045377","133454","6.524665135082677"
"North America","6/4/20","2045377","133454","6.524665135082677"
"North America","6/3/20","2045377","133454","6.524665135082677"
"North America","6/2/20","2045377","133454","6.524665135082677"
"North America","6/10/20","2241611","144976","6.467491460382734"
"North America","6/8/20","2241611","144976","6.467491460382734"
"North America","6/7/20","2241611","144976","6.467491460382734"
"North America","6/13/20","2241611","144976","6.467491460382734"
"North America","6/12/20","2241611","144976","6.467491460382734"
"North America","6/11/20","2241611","144976","6.467491460382734"
"North America","6/9/20","2241611","144976","6.467491460382734"
"North America","5/10/20","1446714","93482","6.461677981964645"
"North America","5/11/20","1446714","93482","6.461677981964645"
"North America","5/12/20","1446714","93482","6.461677981964645"
"North America","5/13/20","1446714","93482","6.461677981964645"
"North America","5/14/20","1446714","93482","6.461677981964645"
"North America","5/15/20","1446714","93482","6.461677981964645"
"North America","5/16/20","1446714","93482","6.461677981964645"
"North America","6/18/20","2446327","155909","6.373187231306362"
"North America","6/20/20","2446327","155909","6.373187231306362"
"North America","6/14/20","2446327","155909","6.373187231306362"
"North America","6/15/20","2446327","155909","6.373187231306362"
"North America","6/16/20","2446327","155909","6.373187231306362"
"North America","6/17/20","2446327","155909","6.373187231306362"
"North America","6/19/20","2446327","155909","6.373187231306362"
"North America","5/4/20","1232321","76486","6.206662062887835"
"North America","5/9/20","1232321","76486","6.206662062887835"
"North America","5/8/20","1232321","76486","6.206662062887835"
"North America","5/7/20","1232321","76486","6.206662062887835"
"North America","5/6/20","1232321","76486","6.206662062887835"
"North America","5/5/20","1232321","76486","6.206662062887835"
"North America","5/3/20","1232321","76486","6.206662062887835"
"North America","6/23/20","2684537","166021","6.184343892447748"
"North America","6/21/20","2684537","166021","6.184343892447748"
"North America","6/22/20","2684537","166021","6.184343892447748"
"North America","6/24/20","2684537","166021","6.184343892447748"
"North America","6/25/20","2684537","166021","6.184343892447748"
"North America","6/26/20","2684537","166021","6.184343892447748"
"North America","6/27/20","2684537","166021","6.184343892447748"
"North America","6/28/20","3005928","177366","5.900540531908948"
"North America","7/3/20","3005928","177366","5.900540531908948"
"North America","7/4/20","3005928","177366","5.900540531908948"
"North America","6/29/20","3005928","177366","5.900540531908948"
"North America","6/30/20","3005928","177366","5.900540531908948"
"North America","7/1/20","3005928","177366","5.900540531908948"
"North America","7/2/20","3005928","177366","5.900540531908948"
"North America","5/2/20","1006775","59251","5.885227583124332"
"North America","5/1/20","1006775","59251","5.885227583124332"
"North America","4/29/20","1006775","59251","5.885227583124332"
"North America","4/28/20","1006775","59251","5.885227583124332"
"North America","4/27/20","1006775","59251","5.885227583124332"
"North America","4/26/20","1006775","59251","5.885227583124332"
"North America","4/30/20","1006775","59251","5.885227583124332"
"North America","7/9/20","3421777","187573","5.481742381224726"
"North America","7/11/20","3421777","187573","5.481742381224726"
"North America","7/5/20","3421777","187573","5.481742381224726"
"North America","7/6/20","3421777","187573","5.481742381224726"
"North America","7/7/20","3421777","187573","5.481742381224726"
"North America","7/8/20","3421777","187573","5.481742381224726"
"North America","7/10/20","3421777","187573","5.481742381224726"
"North America","4/22/20","776467","41735","5.374986960167013"
"North America","4/24/20","776467","41735","5.374986960167013"
"North America","4/23/20","776467","41735","5.374986960167013"
"North America","4/25/20","776467","41735","5.374986960167013"
"North America","4/19/20","776467","41735","5.374986960167013"
"North America","4/20/20","776467","41735","5.374986960167013"
"North America","4/21/20","776467","41735","5.374986960167013"
"North America","7/14/20","3892463","199336","5.121076295394459"
"North America","7/12/20","3892463","199336","5.121076295394459"
"North America","7/13/20","3892463","199336","5.121076295394459"
"North America","7/15/20","3892463","199336","5.121076295394459"
"North America","7/16/20","3892463","199336","5.121076295394459"
"North America","7/17/20","3892463","199336","5.121076295394459"
"North America","7/18/20","3892463","199336","5.121076295394459"
"North America","7/19/20","4446629","212418","4.777056957079171"
"North America","7/20/20","4446629","212418","4.777056957079171"
