"continent","location","date","population","new_vaccinations","rollingpeoplevaccinated","percentage_vaccinated"
"Africa","Algeria","2021-01-30","44903228","30","30","6.681034156386262e-05"
"Africa","Algeria","2021-11-22","44903228","23526","23556","0.05245948019594494"
"Africa","Algeria","2021-11-30","44903228","147230","170786","0.38034236647752806"
"Africa","Botswana","2021-07-10","2630300","10435","10435","0.39672280728434023"
"Africa","Burundi","2021-11-10","12889583","53","202","0.0015671569825028474"
"Africa","Burundi","2021-10-29","12889583","55","149","0.001155972229667942"
"Africa","Burundi","2021-11-12","12889583","56","367","0.002847260458309629"
"Africa","Burundi","2021-11-26","12889583","93","460","0.0035687733264916327"
"Africa","Burundi","2021-10-20","12889583","94","94","0.0007292710710656814"
"Africa","Burundi","2021-11-11","12889583","109","311","0.002412801096823691"
"Africa","Cameroon","2021-04-12","27914542","400","10290","0.03686250700441369"
"Africa","Cameroon","2021-11-12","27914542","9890","9890","0.03542956212571927"
"Africa","Cape Verde","2021-06-15","593162","3001","3001","0.5059326120014431"
"Africa","Cape Verde","2021-07-13","593162","4461","7462","1.2580037156796964"
"Africa","Central African Republic","2021-06-15","5579148","12887","12887","0.2309850894796123"
"Africa","Congo","2021-06-15","5970430","1486","1486","0.024889329579276538"
"Africa","Cote d'Ivoire","2021-03-22","28160548","89","590421","2.096624682161725"
"Africa","Cote d'Ivoire","2021-03-15","28160548","244","580874","2.062722643039475"
"Africa","Cote d'Ivoire","2021-03-21","28160548","468","590332","2.0963086371756687"
"Africa","Cote d'Ivoire","2021-07-21","28160548","614","1303042","4.6271897833806355"
"Africa","Cote d'Ivoire","2021-04-26","28160548","788","645352","2.291688357769174"
"Africa","Cote d'Ivoire","2021-04-18","28160548","1278","628277","2.2310538843207173"
"Africa","Cote d'Ivoire","2021-07-26","28160548","1295","1319720","4.686414483127246"
"Africa","Cote d'Ivoire","2021-06-20","28160548","1324","1142002","4.055325911981543"
"Africa","Cote d'Ivoire","2021-03-23","28160548","1351","591772","2.101422174028716"
"Africa","Cote d'Ivoire","2021-03-09","28160548","1439","606292","2.152983670630273"
"Africa","Cote d'Ivoire","2021-06-24","28160548","1449","1154849","4.100946473058692"
"Africa","Cote d'Ivoire","2021-03-26","28160548","1569","596797","2.119266287005494"
"Africa","Cote d'Ivoire","2021-06-25","28160548","1628","1156477","4.106727610556442"
"Africa","Cote d'Ivoire","2021-06-23","28160548","1637","1153400","4.095800976600313"
"Africa","Cote d'Ivoire","2021-04-17","28160548","1639","626999","2.226515620363638"
"Africa","Cote d'Ivoire","2021-04-25","28160548","1648","644564","2.2888901167690343"
"Africa","Cote d'Ivoire","2021-03-25","28160548","1649","595228","2.1136946624760284"
"Africa","Cote d'Ivoire","2021-03-18","28160548","1653","586459","2.0825553536813275"
"Africa","Cote d'Ivoire","2021-03-17","28160548","1665","584806","2.076685439502101"
"Africa","Cote d'Ivoire","2021-04-04","28160548","1674","679121","2.4116043480403864"
"Africa","Cote d'Ivoire","2021-03-19","28160548","1677","588136","2.088510493474772"
"Africa","Cote d'Ivoire","2021-03-20","28160548","1728","589864","2.0946467376984286"
"Africa","Cote d'Ivoire","2021-08-23","28160548","1785","1587384","5.6369073499564"
"Africa","Cote d'Ivoire","2021-03-24","28160548","1807","593579","2.107838952565838"
"Africa","Cote d'Ivoire","2021-07-19","28160548","1897","1282616","4.554655683547067"
"Africa","Cote d'Ivoire","2021-06-01","28160548","2214","1048530","3.7234005531426444"
"Africa","Cote d'Ivoire","2021-03-16","28160548","2267","583141","2.070772912515765"
"Africa","Cote d'Ivoire","2021-03-27","28160548","2291","599088","2.1274017820960016"
"Africa","Cote d'Ivoire","2021-06-22","28160548","2302","1151763","4.089987879497231"
"Africa","Cote d'Ivoire","2021-04-11","28160548","2347","616884","2.1905965750382417"
