"continent","location","date","population","new_vaccinations"
"Asia","Afghanistan","1/1/21","41128772",NULL
"Asia","Afghanistan","1/1/22","41128772",NULL
"Asia","Afghanistan","1/1/23","41128772",NULL
"Asia","Afghanistan","1/1/24","41128772",NULL
"Asia","Afghanistan","1/10/20","41128772",NULL
"Asia","Afghanistan","1/10/21","41128772",NULL
"Asia","Afghanistan","1/10/22","41128772",NULL
"Asia","Afghanistan","1/10/23","41128772",NULL
"Asia","Afghanistan","1/10/24","41128772",NULL
"Asia","Afghanistan","1/11/20","41128772",NULL
"Asia","Afghanistan","1/11/21","41128772",NULL
"Asia","Afghanistan","1/11/22","41128772",NULL
"Asia","Afghanistan","1/11/23","41128772",NULL
"Asia","Afghanistan","1/11/24","41128772",NULL
"Asia","Afghanistan","1/12/20","41128772",NULL
"Asia","Afghanistan","1/12/21","41128772",NULL
"Asia","Afghanistan","1/12/22","41128772",NULL
"Asia","Afghanistan","1/12/23","41128772",NULL
"Asia","Afghanistan","1/12/24","41128772",NULL
"Asia","Afghanistan","1/13/20","41128772",NULL
"Asia","Afghanistan","1/13/21","41128772",NULL
"Asia","Afghanistan","1/13/22","41128772",NULL
"Asia","Afghanistan","1/13/23","41128772",NULL
"Asia","Afghanistan","1/13/24","41128772",NULL
"Asia","Afghanistan","1/14/20","41128772",NULL
"Asia","Afghanistan","1/14/21","41128772",NULL
"Asia","Afghanistan","1/14/22","41128772",NULL
"Asia","Afghanistan","1/14/23","41128772",NULL
"Asia","Afghanistan","1/14/24","41128772",NULL
"Asia","Afghanistan","1/15/20","41128772",NULL
"Asia","Afghanistan","1/15/21","41128772",NULL
"Asia","Afghanistan","1/15/22","41128772",NULL
"Asia","Afghanistan","1/15/23","41128772",NULL
"Asia","Afghanistan","1/15/24","41128772",NULL
"Asia","Afghanistan","1/16/20","41128772",NULL
"Asia","Afghanistan","1/16/21","41128772",NULL
"Asia","Afghanistan","1/16/22","41128772",NULL
"Asia","Afghanistan","1/16/23","41128772",NULL
"Asia","Afghanistan","1/16/24","41128772",NULL
"Asia","Afghanistan","1/17/20","41128772",NULL
"Asia","Afghanistan","1/17/21","41128772",NULL
"Asia","Afghanistan","1/17/22","41128772",NULL
"Asia","Afghanistan","1/17/23","41128772",NULL
"Asia","Afghanistan","1/17/24","41128772",NULL
"Asia","Afghanistan","1/18/20","41128772",NULL
"Asia","Afghanistan","1/18/21","41128772",NULL
"Asia","Afghanistan","1/18/22","41128772",NULL
"Asia","Afghanistan","1/18/23","41128772",NULL
"Asia","Afghanistan","1/18/24","41128772",NULL
"Asia","Afghanistan","1/19/20","41128772",NULL
"Asia","Afghanistan","1/19/21","41128772",NULL
"Asia","Afghanistan","1/19/22","41128772",NULL
"Asia","Afghanistan","1/19/23","41128772",NULL
"Asia","Afghanistan","1/19/24","41128772",NULL
"Asia","Afghanistan","1/2/21","41128772",NULL
"Asia","Afghanistan","1/2/22","41128772",NULL
"Asia","Afghanistan","1/2/23","41128772",NULL
"Asia","Afghanistan","1/2/24","41128772",NULL
"Asia","Afghanistan","1/20/20","41128772",NULL
"Asia","Afghanistan","1/20/21","41128772",NULL
"Asia","Afghanistan","1/20/22","41128772",NULL
"Asia","Afghanistan","1/20/23","41128772",NULL
"Asia","Afghanistan","1/20/24","41128772",NULL
"Asia","Afghanistan","1/21/20","41128772",NULL
"Asia","Afghanistan","1/21/21","41128772",NULL
"Asia","Afghanistan","1/21/22","41128772",NULL
"Asia","Afghanistan","1/21/23","41128772",NULL
"Asia","Afghanistan","1/21/24","41128772",NULL
"Asia","Afghanistan","1/22/20","41128772",NULL
"Asia","Afghanistan","1/22/21","41128772",NULL
"Asia","Afghanistan","1/22/22","41128772",NULL
"Asia","Afghanistan","1/22/23","41128772",NULL
"Asia","Afghanistan","1/22/24","41128772",NULL
"Asia","Afghanistan","1/23/20","41128772",NULL
"Asia","Afghanistan","1/23/21","41128772",NULL
"Asia","Afghanistan","1/23/22","41128772",NULL
"Asia","Afghanistan","1/23/23","41128772",NULL
"Asia","Afghanistan","1/23/24","41128772",NULL
"Asia","Afghanistan","1/24/20","41128772",NULL
"Asia","Afghanistan","1/24/21","41128772",NULL
"Asia","Afghanistan","1/24/22","41128772",NULL
"Asia","Afghanistan","1/24/23","41128772",NULL
"Asia","Afghanistan","1/24/24","41128772",NULL
"Asia","Afghanistan","1/25/20","41128772",NULL
"Asia","Afghanistan","1/25/21","41128772",NULL
"Asia","Afghanistan","1/25/22","41128772",NULL
"Asia","Afghanistan","1/25/23","41128772",NULL
"Asia","Afghanistan","1/25/24","41128772",NULL
"Asia","Afghanistan","1/26/20","41128772",NULL
"Asia","Afghanistan","1/26/21","41128772",NULL
"Asia","Afghanistan","1/26/22","41128772",NULL
"Asia","Afghanistan","1/26/23","41128772",NULL
"Asia","Afghanistan","1/26/24","41128772",NULL
"Asia","Afghanistan","1/27/20","41128772",NULL
"Asia","Afghanistan","1/27/21","41128772",NULL
"Asia","Afghanistan","1/27/22","41128772","6868"
"Asia","Afghanistan","1/27/23","41128772",NULL
"Asia","Afghanistan","1/27/24","41128772",NULL
"Asia","Afghanistan","1/28/20","41128772",NULL
"Asia","Afghanistan","1/28/21","41128772",NULL
"Asia","Afghanistan","1/28/22","41128772",NULL
"Asia","Afghanistan","1/28/23","41128772",NULL
"Asia","Afghanistan","1/28/24","41128772",NULL
"Asia","Afghanistan","1/29/20","41128772",NULL
"Asia","Afghanistan","1/29/21","41128772",NULL
"Asia","Afghanistan","1/29/22","41128772",NULL
"Asia","Afghanistan","1/29/23","41128772",NULL
"Asia","Afghanistan","1/29/24","41128772",NULL
"Asia","Afghanistan","1/3/21","41128772",NULL
"Asia","Afghanistan","1/3/22","41128772",NULL
"Asia","Afghanistan","1/3/23","41128772",NULL
"Asia","Afghanistan","1/3/24","41128772",NULL
"Asia","Afghanistan","1/30/20","41128772",NULL
"Asia","Afghanistan","1/30/21","41128772",NULL
"Asia","Afghanistan","1/30/22","41128772",NULL
"Asia","Afghanistan","1/30/23","41128772",NULL
"Asia","Afghanistan","1/30/24","41128772",NULL
"Asia","Afghanistan","1/31/20","41128772",NULL
"Asia","Afghanistan","1/31/21","41128772",NULL
"Asia","Afghanistan","1/31/22","41128772",NULL
"Asia","Afghanistan","1/31/23","41128772",NULL
"Asia","Afghanistan","1/31/24","41128772",NULL
"Asia","Afghanistan","1/4/21","41128772",NULL
"Asia","Afghanistan","1/4/22","41128772",NULL
"Asia","Afghanistan","1/4/23","41128772",NULL
"Asia","Afghanistan","1/4/24","41128772",NULL
"Asia","Afghanistan","1/5/20","41128772",NULL
"Asia","Afghanistan","1/5/21","41128772",NULL
"Asia","Afghanistan","1/5/22","41128772",NULL
"Asia","Afghanistan","1/5/23","41128772",NULL
"Asia","Afghanistan","1/5/24","41128772",NULL
"Asia","Afghanistan","1/6/20","41128772",NULL
"Asia","Afghanistan","1/6/21","41128772",NULL
"Asia","Afghanistan","1/6/22","41128772",NULL
"Asia","Afghanistan","1/6/23","41128772",NULL
"Asia","Afghanistan","1/6/24","41128772",NULL
"Asia","Afghanistan","1/7/20","41128772",NULL
"Asia","Afghanistan","1/7/21","41128772",NULL
"Asia","Afghanistan","1/7/22","41128772",NULL
"Asia","Afghanistan","1/7/23","41128772",NULL
"Asia","Afghanistan","1/7/24","41128772",NULL
"Asia","Afghanistan","1/8/20","41128772",NULL
"Asia","Afghanistan","1/8/21","41128772",NULL
"Asia","Afghanistan","1/8/22","41128772",NULL
"Asia","Afghanistan","1/8/23","41128772",NULL
"Asia","Afghanistan","1/8/24","41128772",NULL
"Asia","Afghanistan","1/9/20","41128772",NULL
"Asia","Afghanistan","1/9/21","41128772",NULL
"Asia","Afghanistan","1/9/22","41128772",NULL
"Asia","Afghanistan","1/9/23","41128772",NULL
"Asia","Afghanistan","1/9/24","41128772",NULL
"Asia","Afghanistan","10/1/20","41128772",NULL
"Asia","Afghanistan","10/1/21","41128772",NULL
"Asia","Afghanistan","10/1/22","41128772",NULL
"Asia","Afghanistan","10/1/23","41128772",NULL
"Asia","Afghanistan","10/10/20","41128772",NULL
"Asia","Afghanistan","10/10/21","41128772",NULL
"Asia","Afghanistan","10/10/22","41128772",NULL
"Asia","Afghanistan","10/10/23","41128772",NULL
"Asia","Afghanistan","10/11/20","41128772",NULL
"Asia","Afghanistan","10/11/21","41128772",NULL
"Asia","Afghanistan","10/11/22","41128772",NULL
"Asia","Afghanistan","10/11/23","41128772",NULL
"Asia","Afghanistan","10/12/20","41128772",NULL
"Asia","Afghanistan","10/12/21","41128772",NULL
"Asia","Afghanistan","10/12/22","41128772",NULL
"Asia","Afghanistan","10/12/23","41128772",NULL
"Asia","Afghanistan","10/13/20","41128772",NULL
"Asia","Afghanistan","10/13/21","41128772",NULL
"Asia","Afghanistan","10/13/22","41128772",NULL
"Asia","Afghanistan","10/13/23","41128772",NULL
"Asia","Afghanistan","10/14/20","41128772",NULL
"Asia","Afghanistan","10/14/21","41128772",NULL
"Asia","Afghanistan","10/14/22","41128772",NULL
"Asia","Afghanistan","10/14/23","41128772",NULL
"Asia","Afghanistan","10/15/20","41128772",NULL
"Asia","Afghanistan","10/15/21","41128772",NULL
"Asia","Afghanistan","10/15/22","41128772",NULL
